entity_urn,field,winning_value,losing_value,resolution_rule,winning_source_module
urn:entity:browsing:os:tails,PROVIDES,RAM-only execution with no writes to internal disk by default,RAM overwrite on shutdown to mitigate cold-boot attacks,prefer_higher_source_confidence,browsing_privacy
urn:entity:browsing:os:tails,PROVIDES,RAM-only execution with no writes to internal disk by default,Optional persistent storage that is encrypted but forensically detectable as an encrypted volume,prefer_higher_source_confidence,browsing_privacy
urn:entity:browsing:os:tails,RELATED_TO,All Tor-based privacy OS stacks share Tor susceptibility to traffic correlation and website fingerprinting,Live RAM capture of running Tails session can recover substantial user artefacts despite amnesic design,prefer_higher_source_confidence,browsing_privacy
urn:entity:browsing:os:tails,RELATED_TO,All Tor-based privacy OS stacks share Tor susceptibility to traffic correlation and website fingerprinting,Weaker isolation story for long-running compartmented workflows due to single-OS instance,prefer_higher_source_confidence,browsing_privacy
urn:entity:browsing:os:tails,RELATED_TO,All Tor-based privacy OS stacks share Tor susceptibility to traffic correlation and website fingerprinting,Running Tails in a VM undermines amnesic guarantees because host can inspect RAM and I/O,prefer_higher_source_confidence,browsing_privacy
urn:entity:browsing:os:tails,RELATED_TO,All Tor-based privacy OS stacks share Tor susceptibility to traffic correlation and website fingerprinting,SANS DFIR forensic analysis shows memory imaging of live Tails sessions yields extensive recoverable artefacts,prefer_higher_source_confidence,browsing_privacy
urn:entity:browsing:os:whonix,RELATED_TO,Normal persistent VMs on disk; no amnesic guarantee; requires full-disk encryption on host,Isolation quality depends on host OS and hypervisor security; host compromise defeats VM separation,prefer_higher_source_confidence,browsing_privacy
urn:entity:browsing:os:qubes_whonix,MITIGATES,Browser RCE blast radius by confining compromise to disposable AppVM,State-level attacker with moderate isolation rating; Tails provides moderate-weak; containers provide weak-moderate,prefer_higher_source_confidence,browsing_privacy
urn:entity:browsing:technology:docker,RELATED_TO,Container isolation shares kernel with host making kernel exploits a full-escape vector,Containerised browser isolation is incremental hardening of mainstream OSes not a full anonymity architecture,prefer_higher_source_confidence,browsing_privacy
urn:entity:browsing:architecture:vpn_then_tor,RELATED_TO,VPN provider can see user real IP and that it connects to Tor guards,Adding VPN before Tor does not prevent global adversary from correlating flows across both sides of Tor,prefer_higher_source_confidence,browsing_privacy
urn:entity:browsing:architecture:vpn_then_tor,RELATED_TO,VPN provider can see user real IP and that it connects to Tor guards,VPN protocols such as OpenVPN can be reliably fingerprinted and blocked by censors using DPI,prefer_higher_source_confidence,browsing_privacy
urn:entity:browsing:architecture:vpn_then_tor,RELATED_TO,VPN provider can see user real IP and that it connects to Tor guards,Empirical studies show commercial VPN providers are heterogeneous and some leak traffic or misrepresent logging policies,prefer_higher_source_confidence,browsing_privacy
urn:entity:browsing:architecture:vpn_then_tor,RELATED_TO,VPN provider can see user real IP and that it connects to Tor guards,Data retention laws can require VPN providers in some jurisdictions to store connection logs for years,prefer_higher_source_confidence,browsing_privacy
urn:entity:browsing:architecture:vpn_then_tor,RELATED_TO,VPN provider can see user real IP and that it connects to Tor guards,Tor Project documentation generally does not recommend using a VPN with Tor for typical users,prefer_higher_source_confidence,browsing_privacy
urn:entity:browsing:defense:detorrent,MITIGATES,WF attacker accuracy by approximately 61.5 percent relative to undefended Tor as best padding-only result,Flow correlation TPR at 10e-5 FPR to approximately 0.12 which is less than half of next-best defense,prefer_higher_source_confidence,browsing_privacy
